Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SEA1JA,2011.06,35085,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Information Media and Telecommunications,Actual,,
BDCQ.SEA1KA,2011.06,54474,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Financial and Insurance Services,Actual,,
BDCQ.SEA1KA,2011.09,55328,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Financial and Insurance Services,Actual,,
BDCQ.SEA1KA,2011.12,55558,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Financial and Insurance Services,Actual,,
BDCQ.SEA1LA,2011.06,23716,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Rental, Hiring and Real Estate Services",Actual,,
BDCQ.SEA1LA,2011.09,23551,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Rental, Hiring and Real Estate Services",Actual,,
BDCQ.SEA1LA,2011.12,24172,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Rental, Hiring and Real Estate Services",Actual,,
BDCQ.SEA1MA,2011.06,113336,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Professional, Scientific and Technical Services",Actual,,
BDCQ.SEA1NA,2011.06,82446,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Administrative and Support Services,Actual,,
BDCQ.SEA1OA,2011.06,103160,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Actual,,
BDCQ.SEA1PA,2011.06,177012,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Education and Training,Actual,,
BDCQ.SEA1PA,2011.09,178828,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Education and Training,Actual,,
BDCQ.SEA1QA,2011.06,195982,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Health Care and Social Assistance,Actual,,
BDCQ.SEA1RA,2011.06,35520,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Arts and Recreation Services,Actual,,
BDCQ.SEA1SA,2011.06,56432,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Other Services,Actual,,
BDCQ.SEA1SA,2011.09,56668,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Other Services,Actual,,
BDCQ.SEA1ZA,2018.06,2046513,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Total Industry,Actual,,
BDCQ.SEA2AA,2013.06,768.35913,,F,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,"Agriculture, Forestry and Fishing",Actual,,
BDCQ.SEA2AA,2013.09,784.9968,,F,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,"Agriculture, Forestry and Fishing",Actual,,
BDCQ.SEA2BA,2011.06,119.975999,,F,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Actual,,
BDCQ.SEA2BA,2020.03,139.11612,,F,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Actual,,
BDCQ.SEA2CA,2011.12,2929.301966,,F,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Actual,,
BDCQ.SEA2CA,2012.03,2794.8961,,F,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Actual,,
BDCQ.SEA2CA,2012.06,2882.611206,,F,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Actual,,
